"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"29","에이테크","서울특별시 서초구 서초동 1429-6번지 ","서울특별시 서초구 남부순환로335길 13 2층 202호 (서초동)","20020906","운영중","","","","","86.94","","","","동물용의약품도매상","25878431","201830.54057100000  ","442664.30798900000  ","321000001220020007","정상"
"30","(주)유니온베트","서울특별시 서초구 서초동 1487-125번지 2층 ","서울특별시 서초구 명달로 34 2층 (서초동)","20030523","운영중","","","","","107.32","","","","동물용의약품도매상","5978432","200502.31946700000  ","442349.81626800000  ","321000001220030001","정상"
"31","주식회사 에스에프 메디슨","서울특별시 서초구 방배동 769-5번지 우원빌딩301호 ","서울특별시 서초구 방배중앙로 178 (방배동우원빌딩301호)","20030529","운영중","","","","","1255.8","","","","동물용의약품도매상","596-3481-3","198781.07771800000  ","443945.87051300000  ","321000001220030002","정상"
"32","(주)에스에프메디슨","서울특별시 서초구 방배동 769-5번지 우원빌딩 301 ","서울특별시 서초구 방배중앙로 178 (방배동우원빌딩 301)","20030529","운영중","","","","","1255.8","","","","동물용의약품도매상","596-3481-3","198781.07771800000  ","443945.87051300000  ","321000001220030003","정상"
"33","(주)비손에이에이치","서울특별시 영등포구 대림동 1623-12번지 상보빌딩 805호","서울특별시 서초구 서초중앙로 56 상보빌딩 8층 805호 (서초동)","20061020","운영중","","","","","","","","","동물용의약품도매상","3472-0484","201367.24152900000  ","443050.25011600000  ","321000001220060001","정상"
"34","아베텍","서울특별시 서초구 양재동 11-17번지 ","서울특별시 서초구 남부순환로 2614 2층 210호 (양재동 한솔로이젠트)","20130408","운영중","","","","","0","","","","동물용의약품도매상","02-6242-3242","203243.65600000000  ","442781.58586700000  ","321000001220130001","정상"
"35","(주)벨벳","서울특별시 서초구 내곡동 1-2036번지 ","서울특별시 서초구 샘마을길 3-4 (내곡동)","20150415","운영중","","","","","","","","","동물용의약품도매상","02-478-1440","206269.67694800000  ","439812.83274700000  ","321000001220150001","정상"
"36","(주)두레파마","경기도 안양시 동안구 비산동 1599-2번지 LG서초에클라트 1131호","서울특별시 서초구 반포대로14길 71 1131호 (서초동 LG서초에클라트)","20151125","운영중","","","","","48.67","","","","동물용의약품도매상","02-6933-8555","201282.82889200000  ","443051.34761100000  ","321000001220150002","정상"
"37","먼디파마유한회사","서울특별시 강남구 대치동 1008-2번지 시화빌딩 5층 ","","19980915","운영중","","","","","0","","","","동물용의약품도매상","568-5689","205842.262492       ","444574.980861       ","322000001219980002","정상"
"38","한국조에티스 주식회사","서울특별시 강남구 역삼동 823번지 풍림빌딩 5층 ","서울특별시 강남구 테헤란로 124 (역삼동)","20100730","운영중","","","","","0","","","","동물용의약품도매상","02-317-2708","202803.45108600000  ","444369.70818700000  ","322000001220100001","정상"
"39","주식회사 버박코리아","서울특별시 송파구 방이동 65-2번지 ","서울특별시 송파구 오금로 99 (방이동 진넥스레이크뷰)","20090305","운영중","","","","","172.43","","","","동물용의약품도매상","02-496-4074","209534.07542800000  ","445998.70611500000  ","323000001220090002","정상"
"40","(주)유니코애니멀헬스","서울특별시 송파구 삼전동 49-1번지 ","서울특별시 송파구 백제고분로 224 (삼전동 창대빌딩)","20140430","운영중","","","","","212.36","","","","동물용의약품도매상","260132617","208081.29139100000  ","444855.58139700000  ","323000001220140001","정상"
"41","한국엘랑코동물약품(주)","서울특별시 송파구 송파동 32-7번지 ","서울특별시 송파구 석촌호수로 274 (송파동 씨엠빌딩)","20170501","운영중","","","","","261.2","","","","동물용의약품도매상","25530304","209390.92659600000  ","445644.47127800000  ","323000001220170001","정상"
"42","벨벳코리아","서울특별시 강동구 둔촌동 454-6번지 ","","20030602","운영중","","","","","70.7","","","","동물용의약품도매상","478-1440","212487.364321       ","447660.416337       ","324000001220030003","정상"
"43","브이에스팜(주)","서울특별시 강동구 길동 236-7번지 ","","20120220","운영중","","","","","100","","","","동물용의약품도매상","3436-8252","212426.888054       ","447999.103871       ","324000001220120001","정상"
