"시군구코드","신고일자","업소명","영업상태코드","영업상태","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3210000","20031017","두코동물병원","0002","폐업","","","20031212","","","","","804.80","근린생활시설","철근콘크리트","1","0","","","",""
"3210000","20031113","한강동물병원서초점","0002","폐업","","","20051229","","","","585-0087","48.40","","","0","0","","","",""
"3210000","20040115","21세기동물병원","0002","폐업","","","20041005","","","","","157.62","근린생활시설","철근콘크리트","1","2","","","",""
"3210000","20040401","잠원동물병원","0002","폐업","","","20050126","","","","","18.00","근린생활시설","철근콘크리트","0","2","","","",""
"3210000","20030813","(주)펫프렌즈 반포동물병원","0002","폐업","","","20040401","","","","","0.00","","","0","0","","","",""
"3210000","20020315","신세계동물병원","0002","폐업","","","20171214","","","","537-7412","19.92","","","0","0","","","",""
"3210000","20020402","(주)아크리스동물병원","0002","폐업","","","20111031","","","","583-7582","116.08","","","0","0","","","",""
"3210000","20020703","21세기동물병원","0002","폐업","","","20040115","","","","","0.00","근린생활시설","","0","0","","","",""
"3210000","20020826","엔터펫동물병원","0002","폐업","","","20040525","","","","594-2631","0.00","근린생활시설","","0","0","","","",""
"3210000","20020830","동원동물병원","0002","폐업","","","20031114","","","","585-0087","0.00","","","0","0","","","",""
"3110000","20040514","해오름동물병원","0002","폐업","","","20090424","","","","02-352-6328","540.83","점포","","1","3","","","",""
"3110000","20040608","메디펫동물병원","0000","정상","","","","","","","02-384-0075","878.89","점포","철근콘크리트","1","3","","","",""
"3110000","20041025","예스플러스 동물병원","0002","폐업","","","20091015","","","","354-5633","681.66","점포사무실","철근콘크리트구조","1","3","","","",""
"3110000","20041104","은평동물병원(은평본원)","0002","폐업","","","20070614","","","","358-7566","384.84","근린생활시설","철근콘크리트구조","1","2","","","",""
"3110000","20050303","연신내 동물병원","0002","폐업","","","20070201","","","","386-2075","2041.38","근린생활시설","철근콘크리트 구조","1","4","","","",""
"3110000","20050329","튼튼동물병원","0002","폐업","","","20071207","","","","355-8575","287.25","근린생활시설및 주택","철근콘크리트구조 연와조","1","4","","","",""
"3110000","20050707","멍이맘동물병원","0002","폐업","","","20081124","","","","307-7502","67.66","근린생활시설","철근콘크리트구조","0","1","","","",""
"3110000","20050816","한수24시동물병원","0000","정상","","","","","","","306-8575","0.00","제2종근린생활시설","철근콘크리트구조","1","3","","","",""
"3110000","20060126","로얄동물병원","0000","정상","","","","","","","354-0975","4717.94","근린생횔시설외 1","철근콘크리트구조","1","5","","","",""
"3110000","20031016","더탑동물병원","0002","폐업","","","20170220","","","","356-7588","123.64","","근린생활시설","","","","","",""
"3110000","20031029","참사랑동물병원","0002","폐업","","","20061226","","","","","88.00","근생","철근콘크리트구조","1","4","","상가","",""
"3110000","20000802","신동물병원","0002","폐업","","","20101010","","","","376-7001","0.00","","","0","0","","","",""
"3110000","20011102","유종합동물병원","0002","폐업","","","20070321","","","","387-7582","0.00","","","0","0","","","",""
"3110000","20020528","은평동물병원","0002","폐업","","","20050404","","","","382-7566","0.00","","","0","0","","","",""
"3110000","20020904","영규동물병원","0002","폐업","","","20050620","","","","389-3357","0.00","","","0","0","","","",""
"3110000","20021203","금쪽같은내새끼 동물병원","0000","정상","","","","","","","384-7743","0.00","2종근린생활시설","","0","0","","","",""
"3110000","20030314","한마음동물병원","0002","폐업","","","20070618","","","","376-7588","0.00","","","0","0","","","",""
"3110000","20030407","독도동물병원","0002","폐업","","","20040715","","","","382-7844","0.00","","","0","0","","","",""
"3100000","20060127","LK 동물병원","0000","정상","","","","","","","952-6426","23.10","","","0","1","","","",""
"3100000","20060201","브라운동물병원","0000","정상","","","","","","","6224-3858","33.00","","","0","1","","","",""
"3100000","20060407","수락 동물병원","0000","정상","","","","","","","937-9724","28.66","","","0","1","","","",""
"3100000","19950705","LK동물병원","0002","폐업","","","20060124","","","","952-6426","24.84","","","0","1","","","",""
"3100000","19951124","준동물병원","0002","폐업","","","20080828","","","","","0.00","","","0","1","","","",""
"3100000","19960607","리치동물병원","0002","폐업","","","20150709","","","","971-7575","30.00","","","0","1","","","",""
"3100000","19990521","은빛동물병원","0000","정상","","","","","","","","0.00","","","0","1","","","",""
"3100000","20020218","동물나라동물병원","0002","폐업","","","20040227","","","","","0.00","","","0","0","","","",""
"3100000","20001223","화랑동물병원","0002","폐업","","","20060626","","","","","0.00","","","0","1","","","",""
"3100000","20010523","미래동물병원","0000","정상","","","","","","","949-5975","49.00","","","0","1","","","",""
"3100000","20020516","수락동물병원","0002","폐업","","","20041111","","","","","0.00","","","0","1","","","",""
"3100000","20021118","굿모닝동물병원","0002","폐업","","","20040212","","","","","0.00","","","0","1","","","",""
"3100000","20031015","닥터펫동물병원(중계점)","0002","폐업","","","20040204","","","","","41.00","","","0","1","","","",""
"3100000","20040401","스누피동물병원","0000","정상","","","","","","","971-7511","33.00","","","0","1","","","",""
"3100000","20040924","로얄벳동물병원(월계점)","0002","폐업","","","20111219","","","","949-0975","74.80","","","0","2","","","",""
"3100000","20041116","수락동물병원","0002","폐업","","","20060410","","","","","29.05","","","0","1","","","",""
"3110000","19750823","수색동물병원","0002","폐업","","","20080731","","","","372-8472","0.00","","","0","0","","","",""
"3110000","19750125","응암동물병원","0000","정상","","","","","","","387-6920","0.00","","","0","0","","","",""
"3110000","19870420","갈현동물병원","0002","폐업","","","20050912","","","","385-1350","0.00","","","0","0","","","",""
"3110000","19881111","김정복동물병원","0000","정상","","","","","","","357-8538","0.00","","","0","0","","","",""
"3110000","19900306","불광동물병원","0000","정상","","","","","","","356-1656","0.00","근린생활시설","","0","0","","","",""
"3110000","19970120","예종합동물","0002","폐업","","","20080125","","","","302-9998","0.00","","","0","0","","","",""
"3110000","19990121","역촌동물병원","0002","폐업","","","20040922","","","","355-6105","0.00","","","0","0","","","",""
"3110000","19990508","오거리동물병원","0000","정상","","","","","","","02-306-0158","105.84","","근린생활시설","4","1","","","",""
"3110000","20000321","LOVE MY PET 동물병원","0000","정상","","","","","","","382-7582","165.62","","","0","0","","","",""
"3100000","20021216","쿨펫동물병원","0002","폐업","","","20120820","","","","952-7706","30.27","","","1","0","","","",""
"3100000","20021230","참동물병원","0000","정상","","","","","","","952-0089","26.25","","","0","1","","","",""
"3100000","20030130","한강동물병원","0000","정상","","","","","","","935-7588","0.00","","","0","1","","","",""
"3100000","20030401","중계종합동물병원","0002","폐업","","","20120521","","","","939-7579","51.75","","","0","1","","","",""
"3060000","20030204","세진종합동물병원","0002","폐업","","","20060222","","","","","0.00","","","0","0","","","",""
"3060000","19960326","엔젤동물병원","0000","정상","","","","","","","435-0166","0.00","","","0","0","","","",""
"3060000","20030528","서울우유협동조합유우진료소","0000","정상","","","","","","","2094-8344","0.00","","","0","0","","","3060000-010-2003-0002",""
"3060000","19980226","비비펫동물병원","0002","폐업","","","20050923","","","","3421-4900","0.00","","","0","0","","","",""
"3060000","20000229","하스펫탈동물병원","0000","정상","","","","","","","435-2275","0.00","","","0","0","","","",""
"3060000","20010303","제일동물병원","0002","폐업","","","20031006","","","","","0.00","","","0","0","","","",""
"3060000","20010502","협동가축진료소","0002","폐업","","","20031101","","","","434-5403","0.00","","","0","0","","","",""
"3060000","20021017","하나동물병원","0002","폐업","","","20040226","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20021203","로얄메디컬센터","0002","폐업","","","20080618","","","","2208-7533","0.00","","","0","0","","","",""
"3060000","19950802","보람동물병원","0000","정상","","","","","","","434-5465","0.00","","","0","0","","","",""
"3080000","20020411","현대종합동물병원","0000","정상","","","","","","","999-9110","69.36","","","0","1","","","",""
"3080000","20021015","솔샘동물병원","0000","정상","","","","","","","988-7582","61.53","","","0","1","","","",""
"3080000","20020619","애니케어 동물병원 수유점","0000","정상","","","","","","","996-1007","54.59","","","0","0","","","",""
"3080000","20020703","시티동물병원","0002","폐업","","","20090415","","","","989-4032","46.17","","","0","1","","","",""
"3080000","20020930","강북동물병원","0002","폐업","","","20041020","","","","902-0163","0.00","","","0","0","","","",""
"3080000","19980121","홈펫동물병원","0002","폐업","","","20040729","","","","983-9575","0.00","","","0","1","","","",""
"3080000","19880903","롯데동물병원","0002","폐업","","","20051021","","","","980-7141","28.49","","","0","0","","","",""
"3080000","19920818","삼양동물병원","0000","정상","","","","","","","989-9552","0.00","","","0","1","","","",""
"3080000","19931127","다나동물병원","0002","폐업","","","20040302","","","","945-0075","23.60","","","0","1","","","",""
"3010000","20040514","차지우동물병원","0000","정상","","","","","","","2237-7533","517.93","근린생활시설 업무시설","철근콘크리트조","2","6","준주거지역","","",""
"3010000","20050303","행복한둥지동물병원","0002","폐업","","","20060403","","","","2235-1533","210.00","동물병원","철근콘크리트","0","0","","상업지역","",""
"3130000","20070228","연세종합동물병원","0002","폐업","","","20141231","","","","","0.00","","","0","0","","","",""
"3240000","20070205","펫클럽동물병원","0002","폐업","","","20070928","","","","3428-4036","13.37","","","0","0","","","",""
"3090000","20070206","다현동물병원","0002","폐업","","","20080528","","","","991-3311","39.60","","","0","0","","","",""
"3040000","20070209","기린동물종합병원","0002","폐업","","","20160809","","","","444-8111","0.00","","","0","0","","","",""
"3110000","20070214","허브종합동물병원","0002","폐업","","","20080319","","","","376-7584","2823.97","제2종근린생활시설","철근콘크리트구조","1","10","일반주거지역","","",""
"3080000","19990107","사랑동물병원","0000","정상","","","","","","","991-4304","0.00","","","0","0","","","",""
"3080000","19990108","미아동물병원","0002","폐업","","","20070330","","","","988-5646","0.00","","","0","0","","","",""
"3080000","20030327","초이스동물병원","0002","폐업","","","20150817","","","","998-0729","0.00","","","0","0","","","",""
"3080000","20030407","대형동물병원","0000","정상","","","","","","","998-1785","0.00","","","0","0","","","",""
"3040000","20120612","다온동물병원","0000","정상","","","","","","","499-7582","88.62","제2종근린생활시설(동물병원)","","","","","","",""
"3230000","20091202","에코동물병원","0000","정상","","","","","","","443-2222","0.00","","","0","0","","","",""
"3060000","20050617","하나동물병원","0002","폐업","","","20070703","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20050707","진영동물병원","0002","폐업","","","20060112","","","","2207-9181","0.00","","","0","0","","","",""
"3060000","20050303","제일동물병원","0002","폐업","","","20051205","","","","","0.00","","","0","0","","","",""
"3060000","20050314","하나동물병원","0002","폐업","","","20050615","","","","2208-7540","33.12","","","0","0","","","",""
"3060000","20040106","우리들동물병원","0002","폐업","","","20080212","","","","491-1865","65.32","","","0","0","","","",""
"3060000","20060801","진영동물병원","0002","폐업","","","20070820","","","","2207-9181","0.00","","","0","0","","","",""
"3210000","20060419","바이오-벳","0002","폐업","","","20150116","","","","584-5990","40.94","","","0","0","","","",""
"3210000","20060906","서래동물병원","0000","정상","","","","","","","","35.00","점포","","1","2","","","",""
"3210000","20060915","쿨펫동물병원","0002","폐업","","","20080811","","","","3477-7578","48.00","","","1","0","","","",""
"3010000","20030117","제일동물병원","0002","폐업","","","20040726","","","","2266-6686","1003.67","점포 사무실","철근콘크리트","1","6","","상가","4-029",""
"3010000","20030905","Zoo동물병원","0002","폐업","","","20060315","","","","02-2266-7156","1394.05","사무실주택","철근콘크리트조","1","5","제2종일반주거지역일반상업지역","","",""
"3050000","20031024","안암동물병원","0000","정상","","","","","","","02-925-3686","90.00","","","0","0","","","",""
"3150000","20040826","서서울동물병원","0002","폐업","","","20081222","","","","3662-8661","0.00","","","0","0","","","",""
"3060000","20040226","하나동물병원","0002","폐업","","","20050314","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20030926","비비펫동물병원","0002","폐업","","","20040130","","","","3421-4242","0.00","","","0","0","","","",""
"3060000","20031112","진영동물병원","0002","폐업","","","20060112","","","","2207-9181","56.00","","","0","0","","","",""
"3060000","20031118","제일동물병원","0002","폐업","","","20050218","","","","2207-9931","56.00","","","0","0","","","",""
"3060000","20060501","다음동물병원","0002","폐업","","","20061016","","","","2207-7500","0.00","","","0","0","","","",""
"3060000","20060223","진서동물병원","0000","정상","","","","","","","432-7530","0.00","","","0","0","","","",""
"3060000","20060104","주연동물병원","0000","정상","","","","","","","2207-9931","0.00","","","0","0","","","",""
"3090000","20050620","쿨펫동물병원","0000","정상","20121008","20130228","","","","","3493-7514","46.76","","","0","0","","","",""
"3090000","20050805","세정동물병원","0002","폐업","","","20060110","","","","955-8477","46.50","","","0","1","","","",""
"3090000","20060220","행복한동물병원","0002","폐업","","","20090302","","","","996-8275","41.73","","","0","1","","","",""
"3090000","20060525","이n김동물병원","0002","폐업","","","20170828","","","","955-6530","42.00","","","0","2","","","",""
"3150000","20000620","SKY동물병원","0000","정상","","","","","","","666-5667","0.00","","","0","0","","","",""
"3150000","20060404","송정종합동물병원","0002","폐업","","","20060725","","","","2661-0530","0.00","","","0","0","","","",""
"3150000","20060725","송정종합동물병원","0002","폐업","","","20150804","","","","2661-0530","0.00","","","0","0","","","",""
"3050000","19660221","경동동물병원","0002","폐업","","","20060725","","","","2212-3075","25.00","","","0","0","","","",""
"3050000","19900427","성동동물병원","0002","폐업","","","20121214","","","","923-5291","20.49","","","0","0","","","",""
"3050000","19900801","심재웅동물병원","0000","정상","","","","","","","02-2244-7755","26.00","","","0","0","","","",""
"3050000","19911219","하니동물병원","0002","폐업","","","20100317","","","","2246-4993","60.06","","","0","0","","","",""
"3050000","19920313","홍릉동물병원","0002","폐업","","","20070706","","","","969-6550","21.30","","","0","0","","","",""
"3050000","20060216","전농종합동물병원","0002","폐업","","","20170217","","","","2215-7582","59.40","","","0","0","","","",""
"3050000","20060320","수동물병원","0002","폐업","","","","","","","2242-3375","47.85","","","0","0","","","",""
"3050000","20040528","휘경동물병원","0002","폐업","","","20090709","","","","2215-2367","46.40","","","0","0","","","",""
"3050000","20040721","현대종합동물병원","0002","폐업","","","20160831","","","","2212-7596~7","87.40","","","0","0","","","",""
"3050000","20050104","태양종합동물병원","0002","폐업","","","20100217","","","","969-0075","33.30","","","0","0","","","",""
"3050000","20050818","애니펫동물병원","0002","폐업","","","20171117","","","","966-4475","79.50","","","0","0","","","",""
"3050000","19980210","뉴월드동물병원","0000","정상","","","","","","","02-2212-5233","23.94","","","0","0","","","",""
"3050000","20060417","사랑동물병원","0002","폐업","","","20140514","","","","969-7582","44.44","","","0","0","","","",""
"3050000","20060626","우리동물병원","0002","폐업","","","20060915","","","","2144-4858","0.00","근린생활시설","연와조 경량철골조","0","0","","","",""
"3050000","20060915","우리동물병원","0002","폐업","","","20070702","","","","2214-4858","27.81","근린생활","","0","0","","","",""
"3050000","19990818","애니케어동물병원","0000","정상","","","","","","","02-967-0877","23.28","","","0","0","","","",""
"3150000","20050426","와우동물병원","0000","정상","","","","","","","2666-0370","0.00","","","0","0","","","",""
"3150000","20050608","한마음동물병원","0002","폐업","","","20100409","","","","2697-0052","0.00","","","0","0","","","",""
"3150000","20050609","폭시펫동물병원","0002","폐업","","","20080229","","","","2663-8275","0.00","","","0","0","","","",""
"3150000","20060419","바이오벳","0002","폐업","","","20060419","","","","","0.00","","","0","0","","","",""
"3150000","20050907","도그플러스 동물병원","0000","정상","","","","","","","3662-3533","0.00","","","0","0","","","",""
"3150000","20060307","세인트동물병원","0000","정상","","","","","","","2695-0072","115.50","","","0","0","","","",""
"3140000","20030219","이지동물병원","0002","폐업","","","20080801","","","","2642-5994","41.10","","","0","0","","","",""
"3140000","19900130","우신동물병원","0000","정상","","","","","","","2693-8883","1.00","","","0","1","","","",""
"3140000","19900223","강현림 종합동물병원","0000","정상","","","","","","","2642-9159","1.00","","","0","1","","","",""
"3140000","19940707","신월동물병원","0002","폐업","","","20080820","","","","2608-5886","1.00","근린생활시설","","0","1","","","",""
"3140000","19960128","대현동물병원","0002","폐업","","","20081107","","","","2651-1855","0.00","","","0","1","","","",""
"3140000","19950425","상아동물병원","0002","폐업","","","20120501","","","","2644-0069","0.00","","","0","1","","","",""
"3140000","19970110","애완동물병원","0002","폐업","","","20060203","","","","654-7345","0.00","","","0","1","","","",""
"3140000","19990309","나우동물종합병원","0000","정상","","","","","","","2644-8254","0.00","","","0","0","","","",""
"3140000","19940318","해성동물병원","0000","정상","","","","","","","02-2651-9953","1.00","","","0","1","","","",""
"3140000","20010404","바우동물병원","0002","폐업","","","20030415","","","","2643-8204","0.00","","","0","1","","","",""
"3140000","20010619","황경택동물병원","0002","폐업","","","20060220","","","","2642-7582","0.00","","","0","1","","","",""
"3140000","20020502","닥터펫 동물병원","0002","폐업","","","20030414","","","","2643-0283","0.00","","","0","0","","","",""
"3140000","20020503","필동물종합병원","0000","정상","","","","","","","2649-0774","0.00","","","0","0","","","",""
"3140000","20020605","혜인종합 동물병원","0000","정상","","","","","","","2645-1475","0.00","","","0","0","","","",""
"3140000","19940812","강성동물병원","0002","폐업","","","20120808","","","","692-7283","0.00","","","0","0","","","",""
"3160000","20050630","우리동물종합병원","0002","폐업","","","20060109","","","","2060-0999","0.00","근리생활시설","","0","0","","","",""
"3160000","20060421","수 동물병원","0002","폐업","","","20101013","","","","859-7582","43.80","","","0","0","","","",""
"3090000","20030306","(주)모리아동물생명 아야야동물병원","0002","폐업","","","20050315","","","","956-3536","206.93","근린생활시설","라멘조","0","1","","","4종",""
"3090000","20030509","동물병원 WITH","0000","정상","","","","","","","907-1174~6","204.00","근린생활시설","철근콘크리트조","1","5","","","",""
"3090000","20030701","사랑동물병원","0002","폐업","","","20040901","","","","02-955-6530","60.27","판매및영업시설","철근콘크리트","7","2","","","",""
"3090000","20031006","양현철동물병원","0002","폐업","","","20050805","","","","955-8477","46.50","","","0","0","","","",""
"3090000","20040114","참 동물병원","0002","폐업","","","20060424","","","","993-7582","31.60","","","0","0","","","",""
"3160000","19831010","오류동물병원","0000","정상","","","","","","","2612-3232","24.96","","","0","0","","","",""
"3160000","19901228","케이나인동물병원구로점","0002","폐업","","","20040903","","","","2616-9119","35.88","","","0","0","","","",""
"3160000","19931220","사랑동물병원","0000","정상","","","","","","","851-1368","24.50","","","0","0","","","",""
"3160000","19981118","금강종합동물병원","0000","정상","","","","","","","2686-8008","14.00","","","0","0","","","",""
"3160000","20000821","갤러리아동물병원","0002","폐업","","","20081222","","","","853-5643","21.70","","","0","0","","","",""
"3160000","20010404","가교25시동물병원","0002","폐업","","","20040112","","","","868-7585","27.97","","","0","0","","","",""
"3160000","20030103","우리동물종합병원","0002","폐업","","","20050614","","","","2060-0999","122.18","","","0","0","","","",""
"3160000","20030121","신도림동물병원","0000","정상","","","","","","","2636-3992","0.00","2종근린생활시설","","0","1","","","",""
"3160000","19990128","개봉동물병원","0000","정상","","","","","","","2615-5014","16.41","","","0","0","","","",""
"3160000","20031220","토토동물병원","0002","폐업","","","20120321","","","","6346-0075","0.00","근린생활시설","","0","0","","","",""
"3160000","20040410","굿모닝 동물병원","0000","정상","","","","","","","2060-8673","0.00","","","0","0","","","",""
"3160000","20040827","대한동물종합병원","0002","폐업","","","20050217","","","","","0.00","","","0","0","","","",""
"3160000","20041124","한샘종합동물병원","0000","정상","","","","","","","2681-7585","0.00","","","0","0","","","",""
"3160000","20050604","쿨펫동물병원","0000","정상","","","","","","","2631-3263","0.00","","","0","0","","","",""
"3090000","20050103","수호천사동물병원","0002","폐업","","","20050414","","","","3493-7514","12.44","","","0","0","","","",""
"3040000","20050111","쥬라기동물병원","0000","정상","","","","","","","455-7570","0.00","","","0","0","","","",""
"3090000","20040812","수호천사동물병원","0002","폐업","","","20041230","","","","3493-7514","12.44","","","1","0","","","",""
"3070000","20030901","포유동물병원","0002","폐업","","","20050202","","","","02-912-6555","40.00","근생생활시설","철근코크리트","4","1","","","제4종",""
"3070000","19801006","보문동물병원","0002","폐업","","","20031007","","","","","0.00","","","0","0","","","",""
"3070000","20031111","은혜동물병원","0002","폐업","","","20070328","","","","967-3693","48.30","점포","철근콘크리트","0","0","","","",""
"3090000","19900919","퓨리나동물병원","0000","정상","","","","","","","900-9929","66.24","","","0","1","","","",""
"3090000","19950707","화신종합동물병원","0000","정상","","","","","","","3491-7060","32.20","","","0","1","","","",""
"3090000","19990526","한빛동물병원","0000","정상","","","","","","","992-0074","39.25","","","0","1","","","",""
"3090000","20010115","도담동물병원","0002","폐업","","","20181031","","","","955-8400","80.00","","","0","1","","","",""
"3090000","20010810","두남자동물병원","0002","폐업","","","20031002","","","","955-8477","38.44","","","0","1","","","",""
"3090000","20021126","가나동물병원","0000","정상","","","","","","","3491-4748","56.64","","","0","1","","","",""
"3000000","19750506","홍수의과병원","0002","폐업","","","20130307","","","","","0.00","","","0","0","","","",""
"3000000","19950811","평화동물병원","0002","폐업","","","20040807","","","","","20.30","","","0","1","","","",""
"3000000","20130304","효자동물병원","0001","휴업","","","","","","","732-3827","0.00","","동물병원 / 근린생활시설(영업용)","","0","","","",""
"3000000","20011211","해동물병원","0000","정상","","","","","","","","0.00","","","0","0","","","",""
"3230000","20050124","오륜동물병원","0002","폐업","","","20111209","","","","412-5657","0.00","","","0","1","","","",""
"3230000","20050506","사랑가득동물병원","0002","폐업","","","20061211","","","","","0.00","","","0","1","","","",""
"3230000","20050526","쿨펫동물병원","0002","폐업","","","20110715","","","","2203-0049","64.80","상점","철근콘크리트","5","30","","","",""
"3230000","20060125","호수동물병원","0000","정상","","","","","","","413-7514","0.00","","","0","1","","","",""
"3230000","20051026","로잔동물병원","0002","폐업","","","20080820","","","","3431-6007","0.00","","","0","1","","","",""
"3220000","20131031","스마트 동물 외과 클리닉","0002","폐업","","","","","","","","307.80","","","1","","","","",""
"3220000","20131031","스마트동물병원(신사본점)","0002","폐업","","","20161231","","","","02-549-0275","156.24","","","","1","","","",""
"3220000","20131031","닥터그레이동물병원","0002","폐업","","","20161214","","","","3017-7582","46.94","","","","1","","","",""
"3050000","19990414","그랜드동물병원","0000","정상","","","","","","","02-2214-6129","96.02","","","0","0","","","",""
"3150000","20030716","아이러브펫동물병원","0002","폐업","","","20050608","","","","2666-7585","26.74","","","0","0","","","",""
"3050000","20130326","제연동물병원","0000","정상","","","","","","","02-2242-7975","0.00","","","0","0","","","",""
"3050000","19970509","박철환동물병원","0000","정상","","","","","","","02-2244-7479","60.83","","","0","0","","","",""
"3220000","20051209","치료멍멍한방병원","0002","폐업","","","20060614","","","","02-541-1966","0.00","","","0","0","","","",""
"3220000","20060113","수서동물병원","0002","폐업","","","20160629","","","","02-445-7582","0.00","","","0","0","","","",""
"3220000","20060227","영동동물병원","0002","폐업","","","20120813","","","","02-518-7500","0.00","","","0","0","","","",""
"3220000","20060310","이안동물영상의학센터","0002","폐업","","","20130816","","","","02-574-8956","0.00","","","0","0","","","",""
"3220000","20060516","드림동물병원","0002","폐업","","","20150121","","","","508-7583","136.04","근린생활시설","철근콘크리트","1","5","일반주거지역","","",""
"3220000","20060706","우리동물병원","0002","폐업","","","20110930","","","","517-7775","0.00","점포","철근콘크리트","1","1","","","",""
"3220000","20060904","아프리카동물병원","0002","폐업","","","20110223","","","","","17.92","근생","철근콘크리트","0","1","일반주거지역","","",""
"3220000","20060908","24시양재동물병원","0002","폐업","","","20131127","","","","579-2474","49.59","근생(소매점)","청근콘크리트","0","14","","","",""
"3220000","20060919","압구정신24동물병원","0002","폐업","","","20150528","","","","34430275","3589.96","근생","","1","4","","","",""
"3220000","20060929","중앙동물메디컬센타","0002","폐업","","","20110727","","","","","388.60","","철근콘크리트","0","0","","","",""
"3220000","20061009","안세동물병원","0002","폐업","","","20101109","","","","544-5042","9053.00","근생","철근콘크리트","3","15","일반상업지역","","",""
"3150000","20021205","공항동물병원","0002","폐업","","","20160824","","","","666-8585","0.00","","","0","0","","","",""
"3220000","20040618","DOX 동물병원","0002","폐업","","","20050401","","","","02-3442-3785","0.00","","","0","0","","","",""
"3220000","20040702","대치베스트동물병원","0002","폐업","","","20131201","","","","","0.00","","","0","0","","","",""
"3220000","20040802","퍼피앤조이 동물병원","0002","폐업","","","20051103","","","","02-3442-0856","0.00","","","0","0","","","",""
"3220000","20040910","으뜸 동물병원","0002","폐업","","","20070611","","","","","0.00","","","0","0","","","",""
"3220000","20040923","윤신근박사애견종합병원","0002","폐업","","","20070611","","","","02-3453-7582","0.00","","","0","0","","","",""
"3220000","20041105","쿨 펫 동물병원 강남점","0002","폐업","","","20041231","","","","02-538-6121","0.00","","","0","0","","","",""
"3150000","20021205","우장동물병원","0000","정상","","","","","","","2602-7582","0.00","","","0","0","","","",""
"3150000","20021205","강서동물병원","0000","정상","","","","","","","2691-5900","0.00","","","0","0","","","",""
"3150000","20021205","등촌동물병원","0002","폐업","","","20061027","","","","659-8275","0.00","","","0","0","","","",""
"3150000","20021205","미래동물병원","0000","정상","","","","","","","2608-0234","0.00","","","0","0","","","",""
"3150000","20021205","염창제일동물병원","0000","정상","","","","","","","3665-7582","0.00","","","0","0","","","",""
"3150000","20021205","그랜드동물병원","0002","폐업","","","20080801","","","","694-0078","0.00","","","0","0","","","",""
