"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"39","새보라매약국","서울특별시 동작구 신대방동 706번지 보라매우성상가 101호","서울특별시 동작구 보라매로5길 5 (신대방동 보라매우성아파트)","20170419","운영중","","","","","","","","","동물약국","02-832-4181","193399.19754700000  ","443661.95596500000  ","319000001120170001","정상"
"40","스마일약국","","서울특별시 마포구 백범로37길 26 (신공덕동)","20170418","운영중","","","","","","","","","동물약국","","196016.57783600000  ","449415.18637400000  ","313000001120170003","정상"
"41","조은온누리약국","","서울특별시 동대문구 장한로 51 1층 (장안동)","20170711","운영중","","","","","0","","","","동물약국","02-2212-4509","205931.15991400000  ","451798.46944400000  ","305000001120170004","정상"
"42","새서울약국","서울특별시 강서구 가양동 1479-10번지 ","서울특별시 강서구 양천로57길 9-7 (가양동)","20170313","운영중","","","","","","","","","동물약국","2659-6755","186873.96660300000  ","451551.46801300000  ","315000001120170001","정상"
"43","기린약국","서울특별시 서대문구 홍제동 299-12번지 ","서울특별시 서대문구 통일로 468 1층 (홍제동)","20170412","운영중","","","","","","","","","동물약국","","194957.57296100000  ","454524.31921200000  ","312000001120170002","정상"
"44","애플약국","서울특별시 강서구 염창동 264-37번지 ","서울특별시 강서구 양천로 684 1층 (염창동 부성빌딩)","20170518","운영중","","","","","","","","","동물약국","3663-1205","188684.72665300000  ","450132.28908400000  ","315000001120170003","정상"
"45","정릉약국","서울특별시 성북구 정릉동 400-25번지 ","서울특별시 성북구 보국문로 45 (정릉동)","20170406","운영중","","","","","","","","","동물약국","914-3982","200862.97791700000  ","456551.28053300000  ","307000001120170002","정상"
"46","라이프약국","","서울특별시 마포구 신촌로 190 1층 (염리동)","20170428","운영중","","","","","","","","","동물약국","","195291.13967900000  ","450788.21731500000  ","313000001120170004","정상"
"47","신분당약국","서울특별시 강남구 역삼동 858번지 ","서울특별시 강남구 강남대로 지하 396 23호 (역삼동 강남역)","20170524","운영중","","","","","","","","","동물약국","02-558-0803","202503.22214400000  ","444300.79783600000  ","322000001120170008","정상"
"48","라인약국","서울특별시 강남구 역삼동 830-70번지 1층 ","서울특별시 강남구 역삼로7길 3 1층 (역삼동)","20170524","운영중","","","","","","","","","동물약국","02-563-8383","202922.08479800000  ","443873.66699400000  ","322000001120170009","정상"
"49","온누리조은약국","","서울특별시 양천구 곰달래로5길 30 (신월동 은성아파트)","20170616","운영중","","","","","","","","","동물약국","","185280.22438600000  ","448116.57529900000  ","314000001120170006","정상"
"50","하비온누리약국","서울특별시 송파구 문정동 618번지 ","서울특별시 송파구 송파대로 111 205동 414호 (문정동 파크하비오)","20170530","운영중","","","","","","","","","동물약국","234023678","210966              ","442050              ","323000001120170005","정상"
"51","새서울약국","서울특별시 양천구 목동 603-5번지 ","서울특별시 양천구 공항대로 558 1층 (목동)","20170622","운영중","","","","","","","","","동물약국","2645-7197","188283.10816200000  ","449982.17741300000  ","314000001120170007","정상"
"52","팜프라자약국","","서울특별시 구로구 디지털로 300 지하1층 16호 (구로동 지밸리비즈플라자)","20170704","운영중","","","","","","","","","동물약국","263443990","190849.49387600000  ","442836.25513000000  ","316000001120170002","정상"
"53","한신메디칼약국","서울특별시 서초구 잠원동 65-32번지 65-34 지층 ","서울특별시 서초구 잠원로 94 (잠원동)","20040517","운영중","","","","","49","","","","동물약국","534-8889","200605.17965600000  ","445916.88111600000  ","321000001120040002","정상"
"54","장수알파약국","서울특별시 서초구 서초동 1603-20번지 ","서울특별시 서초구 서초중앙로 38 (서초동)","20130510","운영중","","","","","","","","","동물약국","3487-4233","201439.42598200000  ","442891.37928900000  ","321000001120130003","정상"
"55","연세온누리약국","서울특별시 서초구 잠원동 75-19번지 반포쇼핑 3동 11호","서울특별시 서초구 신반포로 177 1층 11호 (잠원동 반포쇼핑)","20130514","운영중","","","","","","","","","동물약국","537-8738","200301.29106600000  ","445181.09052500000  ","321000001120130004","정상"
"56","교대사랑약국","서울특별시 서초구 서초동 1689-6번지 102호","서울특별시 서초구 서초대로 341 102호 (서초동)","20130524","운영중","","","","","","","","","동물약국","3477-0312","201654.64015000000  ","444004.07918200000  ","321000001120130005","정상"
"57","사랑의약국","서울특별시 서초구 잠원동 75-13번지 반포쇼핑타운 2동 ","서울특별시 서초구 신반포로 165 2동 1층 (잠원동 반포쇼핑타운)","20130606","운영중","","","","","","","","","동물약국","3476-2273","200192.04370700000  ","445139.52979000000  ","321000001120130006","정상"
"58","한 약국","서울특별시 서초구 반포동 706-10번지 ","서울특별시 서초구 강남대로 545-4 1층 (반포동)","20130606","운영중","","","","","","","","","동물약국","541-3838","201868.41189600000  ","445673.66605700000  ","321000001120130007","정상"
"59","세계로 약국","서울특별시 서초구 방배동 442-2번지 ","서울특별시 서초구 동작대로 38 (방배동)","20130606","운영중","","","","","","","","","동물약국","34742599","198422.45309600000  ","442264.14050100000  ","321000001120130008","정상"
"60","빛샘온누리약국","서울특별시 서초구 서초동 1689-1번지 ","서울특별시 서초구 서초대로 331 1층 (서초동)","20130606","운영중","","","","","","","","","동물약국","5961307","201559.59671900000  ","443965.85406700000  ","321000001120130009","정상"
"61","메디케어 약국","서울특별시 서초구 잠원동 75-10번지 405호","서울특별시 서초구 신반포로 157 405호 (잠원동)","20130606","운영중","","","","","","","","","동물약국","593-8040","200129.16533700000  ","445116.02829600000  ","321000001120130010","정상"
"62","하나약국","서울특별시 서초구 서초동 1714-19번지 한성빌딩 101호","서울특별시 서초구 법원로2길 23 101호 (서초동 한성빌딩 )","20130606","운영중","","","","","","","","","동물약국","591-3619","201172.73014500000  ","443886.25871700000  ","321000001120130012","정상"
"63","서광약국","서울특별시 서초구 서초동 1486-1번지 ","서울특별시 서초구 남부순환로315길 104 (서초동)","20130606","운영중","","","","","","","","","동물약국","585-6835","200665.31154400000  ","442627.85595100000  ","321000001120130017","정상"
"64","성지약국","서울특별시 서초구 방배동 725번지 방배삼호아파트 3호","서울특별시 서초구 방배로 270 3호 (방배동 방배삼호아파트)","20130606","운영중","","","","","0","","","","동물약국","537-1086","199165.46711000000  ","444259.60595700000  ","321000001120130019","정상"
"65","메디팜동양약국","서울특별시 서초구 서초동 1331번지 동양빌딩 504호","서울특별시 서초구 사임당로 157 504호 (서초동 우성아파트)","20130606","운영중","","","","","0","","","","동물약국","5828943","202372.51671000000  ","443668.65700800000  ","321000001120130020","정상"
"66","수현온누리약국","서울특별시 서초구 서초동 1673-10번지 소망빌딩 ","서울특별시 서초구 서초대로 310 지하층 (서초동 소망빌딩)","20130606","운영중","","","","","","","","","동물약국","584-6075","201374.82755200000  ","443836.05389700000  ","321000001120130021","정상"
"67","등불약국","서울특별시 서초구 서초동 1516-3번지 ","서울특별시 서초구 명달로 92 (서초동)","20130606","운영중","","","","","","","","","동물약국","3471-8558","200374.48523100000  ","442892.31055300000  ","321000001120130023","정상"
"68","서원약국","서울특별시 서초구 반포동 30번지 지하철 9호선 사평역 ","","20130606","운영중","","","","","","","","","동물약국","3477-1840","200882.763452       ","444703.176103       ","321000001120130026","정상"
"69","한결약국","서울특별시 서초구 우면동 66-2번지 세신우면상가 ","서울특별시 서초구 바우뫼로7길 8 4층 (우면동 세신우면상가)","20130610","운영중","","","","","","","","","동물약국","579-8478","202245.18935200000  ","441269.66335000000  ","321000001120130028","정상"
"70","에이티약국","서울특별시 서초구 양재동 232번지 at센터 ","서울특별시 서초구 강남대로 27 지하1층 (양재동 at센터)","20130610","운영중","","","","","0","","","","동물약국","584-3398","203710.78542700000  ","440984.19495800000  ","321000001120130029","정상"
"71","나성온누리약국","서울특별시 서초구 서초동 1335번지 무지개종합상가 ","서울특별시 서초구 효령로 401 1층 (서초동 무지개종합상가)","20130611","운영중","","","","","","","","","동물약국","3472-6722","202448.48321600000  ","443252.74275700000  ","321000001120130030","정상"
"72","주앙약국","서울특별시 서초구 방배동 1028-1번지 경남상가 ","서울특별시 서초구 방배로 27 1층 (방배동 경남상가)","20130611","운영중","","","","","","","","","동물약국","584-3398","200004.58619300000  ","441983.37558600000  ","321000001120130032","정상"
"73","자이프라자약국","서울특별시 서초구 반포동 20-45번지 자이프라자 상가 ","서울특별시 서초구 잠원로 24 (반포동 자이프라자 상가)","20130612","운영중","","","","","","","","","동물약국","532-5222","200872.98728200000  ","445293.90881400000  ","321000001120130033","정상"
"74","홈케어방배약국","서울특별시 서초구 방배동 951-1번지 ","서울특별시 서초구 서초대로 24 (방배동)","20130612","운영중","","","","","","","","","동물약국","585-7270","198677.97123500000  ","442889.30214000000  ","321000001120130034","정상"
"75","고명약국","서울특별시 서초구 우면동 64-2번지 선일상가 101호","서울특별시 서초구 바우뫼로 23 101호 (우면동 선일상가)","20130612","운영중","","","","","","","","","동물약국","2057-3448","202234.13449700000  ","441220.27391700000  ","321000001120130035","정상"
"76","다사랑약국","서울특별시 서초구 서초동 1320-10번지 삼성전자 지하2층 ","서울특별시 서초구 서초대로74길 11 지하2층 (서초동 삼성전자)","20130612","운영중","","","","","0","","","","동물약국","581-5773","202380.05428800000  ","444130.79858000000  ","321000001120130036","정상"
"77","서초로하스약국","서울특별시 서초구 서초동 1602-8번지 장수빌딩 ","서울특별시 서초구 서초중앙로 39 1층 (서초동 장수빌딩)","20130623","운영중","","","","","","","","","동물약국","3471-2662","201389.67906900000  ","442870.39773700000  ","321000001120130037","정상"
"78","에덴셀스마트약국","서울특별시 서초구 양재동 215번지 하이브랜드패션관 2198호","서울특별시 서초구 매헌로 16 2198호 (양재동하이브랜드패션관)","20130623","운영중","","","","","","","","","동물약국","2155-1610","203269.78891100000  ","440451.69220800000  ","321000001120130041","정상"
"79","에이스온누리약구","서울특별시 서초구 방배동 984-1번지 ","서울특별시 서초구 방배로 76 1층 (방배동)","20130623","운영중","","","","","","","","","동물약국","525-6623","199846.58124400000  ","442413.16644100000  ","321000001120130043","정상"
"80","미소약국","서울특별시 서초구 서초동 1344-12번지 ","서울특별시 서초구 서운로 39 (서초동)","20130627","운영중","","","","","","","","","동물약국","3487-3454","202520.22977200000  ","443105.70167300000  ","321000001120130044","정상"
"81","기린약국","서울특별시 서초구 반포동 20-45번지 반포자이프라자 ","서울특별시 서초구 잠원로 24 1층 (반포동 반포자이프라자)","20130702","운영중","","","","","0","","","","동물약국","","200872.98728200000  ","445293.90881400000  ","321000001120130045","정상"
"82","서초당약국","서울특별시 서초구 서초동 1575-9번지 삼화빌딩 101호","서울특별시 서초구 서초중앙로 107 101호 (서초동 삼화빌딩)","20130702","운영중","","","","","","","","","동물약국","521-9443","201218.71925200000  ","443555.42221700000  ","321000001120130046","정상"
"169","장수약국","서울특별시 영등포구 신길동 3844번지 ","서울특별시 영등포구 신풍로 46 (신길동)","20130820","운영중","","","","","0","","","","동물약국","02-843-2843","192132.63385700000  ","444497.15888600000  ","318000001120130017","정상"
"83","금화온누리약국","서울특별시 서초구 반포동 18-3번지 래미안퍼스티지 중심상가 125호","서울특별시 서초구 반포대로 287 125호 (반포동 래미안퍼스티지 중심상가)","20130702","운영중","","","","","","","","","동물약국","842-4484","200071.57468200000  ","444992.33793700000  ","321000001120130047","정상"
"84","아주약국","서울특별시 서초구 반포동 1053번지 반포상가 H동 33호","서울특별시 서초구 신반포로 22 H동 33호 (반포동 반포상가)","20130703","운영중","","","","","","","","","동물약국","599-0303","198861.90751200000  ","444626.50706200000  ","321000001120130048","정상"
"85","스마일약국","서울특별시 서초구 방배동 1751번지 ","서울특별시 서초구 동작대로 132 (방배동)","20130709","운영중","","","","","","","","","동물약국","532-5427","198476.20652100000  ","443201.04767600000  ","321000001120130049","정상"
"86","서초늘푸른약국","서울특별시 서초구 잠원동 57번지 대림상가 117호","서울특별시 서초구 잠원로8길 25 117호 (잠원동 대림상가)","20130717","운영중","","","","","","","","","동물약국","534-5536","201016.28355700000  ","446102.58887600000  ","321000001120130051","정상"
"87","서초백화점약국","서울특별시 서초구 서초동 1602-1번지 ","서울특별시 서초구 효령로 279 (서초동)","20130723","운영중","","","","","","","","","동물약국","3474-7575","201305.93306500000  ","442832.92053500000  ","321000001120130052","정상"
"88","다보약국","서울특별시 서초구 서초동 1523-6번지 ","서울특별시 서초구 반포대로19길 21 (서초동)","20130812","운영중","","","","","","","","","동물약국","525-3955","200746.68577900000  ","443063.91941700000  ","321000001120130054","정상"
"89","코코약국","서울특별시 강남구 도곡동 422번지 ","","20040515","운영중","","","","","0","","","","동물약국","02-573-6152","203973.744772       ","442459.342151       ","322000001120040015","정상"
"90","천사약국","서울특별시 강남구 일원동 715-1번지 신영플라자 108호 ","서울특별시 강남구 일원로 95 (일원동 신영프라자)","20040830","운영중","","","","","4455.15","","","","동물약국","02-459-3702","207387.07200500000  ","442924.32406600000  ","322000001120040027","정상"
"91","우인온누리약국","서울특별시 강남구 일원동 684-2번지 ","서울특별시 강남구 일원로 39 (일원동 대원빌딩)","20041012","운영중","","","","","0","","","","동물약국","02-2226-7141","207190.88747500000  ","443435.02266600000  ","322000001120040029","정상"
"92","강남프라자약국","서울특별시 강남구 논현동 117-2번지 ","서울특별시 강남구 학동로 323 (논현동 한미빌딩)","20041012","운영중","","","","","0","","","","동물약국","02-514-4222","203389.51253100000  ","446344.20206500000  ","322000001120040030","정상"
"93","도곡메디칼약국","서울특별시 강남구 도곡동 540번지 삼호상가 지하 103호 ","","20041111","운영중","","","","","0","","","","동물약국","3462-9095","203999.743139       ","443486.116157       ","322000001120040031","정상"
"94","건강 온누리 약국","서울특별시 강남구 역삼동 667-16번지 ","서울특별시 강남구 논현로 528 (역삼동 온누리빌딩)","20050105","운영중","","","","","0","","","","동물약국","02-563-0854","203175.49599300000  ","444910.82491500000  ","322000001120050001","정상"
"95","국송약국","서울특별시 강남구 수서동 707-1번지 주공아파트 a 1단지 상가 101호 ","서울특별시 강남구 광평로51길 49 (수서동 주공아파트)","20090106","운영중","","","","","0","","","","동물약국","","209009.68751900000  ","443636.06829700000  ","322000001120090001","정상"
"96","역삼약국","서울특별시 강남구 역삼동 834번지 ","서울특별시 강남구 역삼로 128 (역삼동)","20120223","운영중","","","","","","","","","동물약국","02-555-3877","202981.63566200000  ","443836.27018700000  ","322000001120120001","정상"
"97","코스모스약국","서울특별시 강남구 신사동 502번지 ","서울특별시 강남구 강남대로 630 (신사동)","20120726","운영중","","","","","","","","","동물약국","515-3555","201710.64732500000  ","446498.60655300000  ","322000001120120003","정상"
"98","더블유스토어삼성약국","서울특별시 강남구 삼성동 163번지 ","서울특별시 강남구 봉은사로 640 (삼성동)","20120907","운영중","","","","","","","","","동물약국","539-5275","205774.42213300000  ","446154.26334500000  ","322000001120120004","정상"
"99","강남동물약국","서울특별시 강남구 역삼동 776-20번지 준용빌딩 1층 ","서울특별시 강남구 논현로 330 (역삼동)","20130128","운영중","","","","","0","","","","동물약국","508-3597","203542.16568400000  ","443926.72448500000  ","322000001120130001","정상"
"100","중앙약국","서울특별시 강남구 신사동 665-6번지 104호","서울특별시 강남구 선릉로157길 815 (신사동)","20130410","운영중","","","","","","","","","동물약국","542-6354","203403.748949       ","446962.889853       ","322000001120130003","정상"
"101","희병약국","서울특별시 강남구 논현동 277번지 ","서울특별시 강남구 봉은사로43길 8 (논현동)","20130417","운영중","","","","","","","","","동물약국","5450429","203532.17133400000  ","445592.79930000000  ","322000001120130004","정상"
"102","옵티마양성심약국","서울특별시 강남구 신사동 574번지 ","서울특별시 강남구 압구정로 144 (신사동)","20130418","운영중","","","","","","","","","동물약국","511-3736","202173.21682600000  ","447275.96995500000  ","322000001120130005","정상"
"103","나리약국","서울특별시 강남구 대치동 1022-2번지 ","서울특별시 강남구 도곡로 442 (대치동)","20130418","운영중","","","","","","","","","동물약국","565-6645","205203.01228700000  ","444278.18928900000  ","322000001120130006","정상"
"104","독수리약국","서울특별시 강남구 일원동 715-1번지 신영프라자 106호","서울특별시 강남구 일원로 95 신영프라자 106호 (일원동)","20130419","운영중","","","","","","","","","동물약국","","207387.07200500000  ","442924.32406600000  ","322000001120130008","정상"
"105","역삼동물약국","서울특별시 강남구 역삼동 797-16번지 ","서울특별시 강남구 논현로 327 (역삼동)","20130502","운영중","","","","","","","","","동물약국","02-564-7582","203502.31105900000  ","443890.19445200000  ","322000001120130009","정상"
"106","한티약국","서울특별시 강남구 도곡동 527-3번지 ","서울특별시 강남구 선릉로 225 (도곡동)","20130527","운영중","","","","","","","","","동물약국","02-574-2575","204662.47479900000  ","443991.53923500000  ","322000001120130011","정상"
"107","테헤란 한서약국","서울특별시 강남구 역삼동 718-1번지 ","","20130605","운영중","","","","","","","","","동물약국","02-569-2775","203367.212236       ","444317.20115        ","322000001120130012","정상"
"108","삼성건강약국","서울특별시 강남구 삼성동 1-3번지 1층 ","서울특별시 강남구 선릉로130길 5 1층 (삼성동)","20130605","운영중","","","","","","","","","동물약국","","203718.83310000000  ","446362.38921500000  ","322000001120130013","정상"
"109","압구정스타약국","","서울특별시 강남구 압구정로 20-15 (신사동)","20130605","운영중","","","","","","","","","동물약국","","","","322000001120130014","정상"
"110","해맑은약국","서울특별시 강남구 도곡동 924-5번지 ","서울특별시 강남구 남부순환로363길 13 (도곡동 백광빌딩)","20130607","운영중","","","","","0","","","","동물약국","02-571-0029","203334.20791300000  ","442962.13830400000  ","322000001120130015","정상"
"170","공원온누리약국","서울특별시 영등포구 영등포동 580-8번지 ","서울특별시 영등포구 신길로 252 (영등포동)","20130827","운영중","","","","","","","","","동물약국","02-836-2086","192199.46124500000  ","446074.61091300000  ","318000001120130018","정상"
"111","대치동동물약국","서울특별시 강남구 대치동 901-67번지 1층 ","서울특별시 강남구 역삼로77길 23 1층 (대치동)","20130607","운영중","","","","","0","","","","동물약국","02-3453-9557","204945.88456600000  ","444945.94969700000  ","322000001120130016","정상"
"112","울트라온누리약국","","서울특별시 강남구 봉은사로 415 (삼성동)","20130607","운영중","","","","","","","","","동물약국","02-543-7587","204032.81938800000  ","445735.56482100000  ","322000001120130017","정상"
"113","대치필리아약국","서울특별시 강남구 대치동 935-36번지 ","","20130613","운영중","","","","","","","","","동물약국","02-508-6116","204758.655655       ","443958.224613       ","322000001120130018","정상"
